co,no,no2,o3,so2,pm2_5,pm10,nh3
0.3217865789462904,0.010029580329081161,0.2898981509813349,0.023973025932529524,0.26017464525183226,0.6688152880732555,0.6599780373365279,0.5518180050554151
0.46034626608058976,0.10741356997596599,0.37080910958604707,0.0005649019365544512,0.38289412131607675,0.7756460083037899,0.7839007021396958,0.7931168578650593
0.5843209385971021,0.24376039933444257,0.4187612012064518,0.0019418504069059262,0.49446436924996107,0.8566363963827329,0.8766430401650528,0.9506124829865837
0.5843209385971021,0.23548715104455537,0.46666958080167853,0.011350998287641006,0.5687665679089351,0.8398202741388138,0.8634155269375395,0.9309741396072332
0.5624427339153139,0.19832686263634683,0.49665603007387327,0.03029286634773245,0.6431467331981913,0.8271750052135668,0.8554124654753587,0.9014194050165273
0.4968094853801649,0.13117027176927343,0.49665603007387327,0.0706833548113757,0.7472321846249806,0.8065292812861397,0.8264616818075938,0.8127552012444098
0.2561533304111415,0.005823627287853577,0.39476329938366045,0.1527706674669444,0.769530640885701,0.5169583104252375,0.5145752221223919,0.4089053081858838
0.3181406666693977,0.0008319467554076539,0.46068103335227517,0.08962522287146715,0.5985498206767504,0.5232525072515973,0.5339755748560779,0.5370406377600622
0.3764820906507612,0.002726936587169532,0.50863312497268,0.0347061627270641,0.5018711991267738,0.5375471590801374,0.564240790655885,0.6848143107135912
0.4384680613988014,0.03068959142170457,0.49665603007387327,0.005278302469680654,0.47208794635895845,0.5954082696646256,0.6444045123290406,0.891503013805172
0.4968094853801649,0.07432057681641709,0.4427153910040652,0.0004236764524158384,0.457274286605333,0.6660663165677672,0.7342684103690392,0.9801672175772894
0.5186876900619533,0.09086707339619154,0.4127726537570485,0.0001235722986212862,0.42382660221425233,0.7122490378599732,0.7918039333133672,0.8127552012444098
0.4968094853801649,0.08365686818265854,0.38278620448485373,0.00017653185517326603,0.3717448931857166,0.7255009763588453,0.8049648930152075,0.6157884503208244
0.431176236845016,0.06091699020151599,0.34685491978843375,0.000529595565519798,0.2937002962731951,0.677138036286424,0.7423546637383115,0.3941279408905308
0.3473106959049715,0.03300055463117027,0.3078637933295449,0.001553480325524741,0.22298456260720417,0.5984416175327508,0.6407440684170244,0.23157690064164885
0.2999097397747182,0.021907931225734888,0.2689163788958342,0.002453792786908397,0.20068610634648373,0.5535480690844978,0.5827593091744034,0.18238382267159248
0.2743856228160371,0.019596968016269183,0.23595751191152686,0.0024361396013910705,0.1970216747232185,0.5181906079966635,0.5416625070713121,0.16507874781256077
0.25979924268803417,0.025004621926418932,0.21501945185120425,0.0014475612124207813,0.20068610634648373,0.49358257341649775,0.5084855745233103,0.14913474625704842
0.2561533304111415,0.037668700314290995,0.19701009747781612,0.000529595565519798,0.2044285046000312,0.47809354086488337,0.4824964227479951,0.13299630565817616
0.26344652047514294,0.06091699020151599,0.18503300257900945,0.00010591911310395962,0.21932013098393893,0.47058600489127356,0.4681707763468769,0.1366906474820144
0.30355565205161084,0.11051026067665004,0.18206058486689686,0.0,0.26391704350537976,0.48580961950442686,0.4830621277162157,0.19463348240326658
0.41294394444012034,0.22102052135330003,0.20601477466451018,1.76531855173266e-05,0.3791517230625293,0.56365290917019,0.572310405643739,0.3350184717091192
0.48222447076237807,0.3099001663893511,0.24496218909822093,0.0019241972213885996,0.531576485264307,0.6179877528579826,0.6378323516688297,0.4580983861559401
0.3874198274814394,0.21690700684045108,0.2929142807186257,0.015128779988348898,0.7100421019803524,0.5473107475306653,0.5626601444211508,0.4779311685786506
0.3254338567333992,0.15904048807542984,0.298902828168029,0.036595053577418046,0.769530640885701,0.47881396098356305,0.49955076370170715,0.5467625899280575
0.2525074181342488,0.10944721760029581,0.27792105608252826,0.058696841845110946,0.8067207235303291,0.3719074070563255,0.39729127150510796,0.5123468792533541
0.11394773099994948,0.04594194860417822,0.19701009747781612,0.11741133687573921,0.6654451894589116,0.19620073179517322,0.20704801836877307,0.24382656037332295
0.08660065790282209,0.03457200961360695,0.1670673602307995,0.14517979769449396,0.6133634804303759,0.15344948527878366,0.16059365744900336,0.19210577483958782
0.08477770176437577,0.03350896653725272,0.1760283253923154,0.1502462619379667,0.6803368158428194,0.1454111134282519,0.1531563009550431,0.20202216605094306
0.14311776023552322,0.042290626733222404,0.2569392839970276,0.11866471304746941,0.7398253547481679,0.18040836445674638,0.19471897773784566,0.33015749562512153
0.24521422807024734,0.05315215381771122,0.38278620448485373,0.054283545465779307,0.7026352721035398,0.2396155231577152,0.26646367841336394,0.5172078553373517
0.3290797690102919,0.11051026067665004,0.44870393845346856,0.003971966741398485,0.6208482769374708,0.2726600564961041,0.31408272603241155,0.6453431849115302
0.3874198274814394,0.19832686263634683,0.39476329938366045,0.0033423364579471693,0.5390612817714019,0.29895539082791445,0.3526837709227646,0.7931168578650593
0.45305444152680435,0.24376039933444257,0.3528434672378371,0.002712706174495854,0.5018711991267738,0.36093047945854745,0.4357425709626967,0.9704452654092941
0.5041026754441664,0.24787391384729154,0.3528434672378371,0.0020830758910445387,0.4646811164821456,0.42190077160786404,0.517120894479385,0.9506124829865837
0.5113944999979517,0.22102052135330003,0.3528434672378371,0.0014534456075932234,0.4200842039607049,0.44300149771550995,0.5464876376826062,0.7536457320629982
